Registered Qualifying Data Centers										
Data Center	Effective Date	Owner Name	Owner Registration #	Occupant Name	Occupant Registration #	Operator Name	Operator Registration #	Exemption End Date	Location	Notes
Microsoft San Antonio (SAT14)	08/18/2021	Microsoft Corporation	DC969263-OW1	Microsoft Corporation	DC969263-OC1	Microsoft Corporation	DC969263-OP1		3555 Westover Link San Antonio, Bexar County, TX 78251	
NADC	09/01/2013	Microsoft Corporation	DC718710-OW1	Chevron USA Inc.	DC718710-OC1	McKinstry Essention, LLC	DC718710-OP2	09/01/2023	5200 Rogers Road (Westover Hills) San Antonio, Bexar County, TX 78251	• Chevron built it, sold to Microsoft in 2017 for $80M. The 2013 registration was filed when Chevron still owned and occupied it, and the 2023 re-registration apparently wasn't fully updated to reflect the 2017 ownership transfer.  • The owner/occupant fields reflect the original 2013 registration, not current reality. Microsoft has owned it since 2017.
NTT Global Data Centers Americas - Dallas TX2	10/20/2022	NTT Global Data Centers TX, LLC	DC022646-OW1	NTT Global Data Centers TX, LLC	DC022646-OC1	NTT Global Data Centers Americas, Inc.	DC022646-OP1		2008 Lookout Drive Garland, Dallas County, TX 75044	
NTT Global Data Centers Americas - Dallas TX3	10/01/2022	NTT Global Data Centers TX, LLC	DC324632-OW1	NTT Global Data Centers TX, LLC	DC324632-OC1	NTT Global Data Centers Americas, Inc.	DC324632-OP2		2108 Lookout Drive Garland, Dallas County, TX 75044	
NTT Global Data Centers Americas - Dallas TX4	04/18/2024	NTT Global Data Centers TX, LLC	DC101549-OW1	NTT Global Data Centers TX, LLC	DC101549-OC1	NTT Global Data Centers Americas, Inc.	DC101549-OP1		2108 Lookout Drive Garland, Dallas County, TX 75044	
QTS Irving DC3 Data Center	02/09/2024	QTS Irving DC3, LLC	DC575604-OW1	Microsoft Corporation	DC575604-OC1	QTS Irving DC3, LLC Quality Technology Services, LLC	DC575604-OP1 DC575604-OP2		6351 Longhorn Dr. Irving, Dallas County, TX 75063	
Rellis Campus Data and Research Center	09/15/2020	Rellis Campus Data and Research Center LLC	DC894395-OW1	Rellis Campus Data and Research Center LLC	DC894395-OC1	Rellis Campus Data and Research Center LLC	DC894395-OP1		701 University Dr E Bryan, Brazos County, TX 77807	
San Antonio Data Center II	05/04/2016	CyrusOne LLC	DC053978-OW1	Microsoft Corporation	DC053978-OC1	CyrusOne LLC	DC053978-OP1	05/04/2026	9554 Westover Hills Blvd San Antonio, Bexar County, TX 78251	
San Antonio Data Center III	05/25/2017	CyrusOne LLC	DC086194-OW1	Microsoft Corporation	DC086194-OC1	CyrusOne LLC	DC086194-OP1	05/25/2027	11203 W Military Drive San Antonio, Bexar County, TX 78254	
SDC - Austin Tandem Data Center	03/13/2024	SDC - Austin LLC	DC590947-OW1	Cirrascale Cloud Services, LLC	DC590947-OC1	SDC - Austin LLC	DC590947-OP1		1300 Louis Henna Blvd Round Rock, Williamson County TX 78664	
SDC DFW VIII, L.P.	03/27/2023	SDC DFW VIII, L.P.	DC496068-OW1	GOOGLE LLC	DC496068-OC1	SDC DFW VIII, L.P. Jones Lang La Salle Amercias, Inc. Design, LLC	DC496068-OP1 DC496068-OP2 DC496068-OP3		300 S Sunrise Road Wilmer, Dallas County, TX 75172	
SDC SATB1	03/10/2024	SDC SA III, L.P.	DC615003-OW1	Microsoft Corporation	DC615003-OC1	SDC SA III, L.P.	DC615003-OP1		11203 Military Dr. San Antonio, Bexar County, TX 78251	Classified as a confidential project
State Farm Richardson Data Center	06/01/2015	JDM III SF Dallas DC LLC	DC245709-OW3	State Farm Mutual Auto Ins. Co.	DC245709-OC1	State Farm Mutual Auto Ins. Co.	DC245709-OP1	06/01/2030	1510 E Lookout Drive Richardson, Dallas County, TX 75082	
Stream DFW VII Data Center	02/07/2022	SDC DFW VII LP	DC338025-OW1	OBOE LLC	DC338025-OC1	SDC Technology Services, LLC	DC338025-OP1		813 Lookout Drive, Garland, Dallas County, TX 75044	
Switch AUS 4	06/26/2025	Switch, LTD	DC440472-OW1	Coreweave, Inc.	DC440472-OC1	Switch, LTD	DC440472-OP1		150 Dell Way Round Rock, Travis County, TX 78664	
Temple Green Data Center	07/23/2021	Temple Green Data LLC	DC362659-OW2	Rhodium Renewables LLC	DC362659-OC1	Temple Green Data LLC	DC362659-OP2		2810 Bob White Road, Synergy Industrial Park Temple, Bell County, TX 76501	
TX11 Data Center	03/06/2024	Vantage Data Centers TX11, LLC	DC536960-OW1	Microsoft Corporation	DC536960-OC1	Vantage Data Centers TX11, LLC Vantage Data Centers Management Company LLC	DC536960-OP1 DC536960-OP2		14720 Omicron Drive San Antonio, Bexar County, TX 78245	
USBTC Pecos Data Center	04/01/2022	U.S. Data Lone Star, Inc.	DC062205-OW1	U.S. Data Lone Star, Inc.	DC062205-OC1	U.S. Data Lone Star, Inc.	DC062205-OP1		1939 FM 2119	Owner: U.S. Data Lone Star, Inc. (USBTC subsidiary). Post-merger (This is Hut 8, entity ID confirmed from SEC filing).
West Texas Data Center	05/04/2022	WTDM OZB LLC	DC132838-OW1	WTDM OZB LLC	DC132838-OC1	WTDM OZB LLC TNDS US Corp	DC132838-OP1 DC132838-OP2		Highway 18 Fort Stockton, Pecos County, TX 79735	• Pacifico Energy’s GW Ranch Energy Center is designed to be a massive AI-focused data center with a planned 7.65 gigawatt (GW) about 17 miles north of Fort Stockton, to the southwest of Odessa. • The facility would be able to generate approximately 7,650 megawatts (MW) of electricity, which would exclusively be used to power to an on-site artificial intelligence (AI) focused data center campus. If built, the facility would rank among the largest gas-fired power plants in the United States. Pacifico Energy claims that it is the largest power project in the country.
Whinstone US Data Center	06/30/2020	Whinstone US Inc.	DC820786-OW1	Whinstone US Inc.	DC820786-OC1	Whinstone US Inc.	DC820786-OP1		1721 Todd Rd Rockdale, Milam County, TX 76567	
Registered Qualifying Large Data Center Projects										
